44,63
45,63
46,63
46,63
46,63
47,63
47,63
47,63
48,63
49,62
50,62
50,62
50,61
51,61
51,60
52,60
53,59
54,58
55,57
55,57
55,57
56,56
56,55
57,53
58,52
58,51
59,50
60,49
60,48
60,48
60,47
61,46
61,45
62,43
62,42
62,40
62,38
62,37
62,36
62,36
62,34
61,33
61,32
60,31
59,29
58,28
58,28
57,27
56,26
55,25
55,24
54,23
53,23
53,22
52,22
51,21
50,21
50,21
49,20
48,20
48,20
47,20
46,19
44,19
44,19
43,19
42,19
41,18
39,18
37,18
35,18
34,18
32,18
31,18
30,18
27,19
26,20
23,21
22,22
21,23
20,23
19,24
18,24
18,25
17,25
17,26
16,27
16,28
15,29
15,31
15,33
15,35
15,37
15,38
15,39
15,41
15,43
15,45
15,46
15,47
15,47
15,48
15,49
16,52
17,53
17,54
17,54
17,56
18,57
19,59
19,60
20,61
21,62
22,63
24,63
26,64
26,64
27,64
28,65
29,65
29,65
30,65
30,65
30,65
31,65
31,65
31,65
31,65
32,65
32,65
33,64
33,64
33,64
