43,73
43,72
42,70
41,68
40,66
40,65
39,63
38,62
38,60
37,59
37,58
36,57
35,55
34,53
33,51
32,50
32,49
31,48
30,46
29,44
28,43
27,42
27,41
26,39
25,38
25,36
24,35
24,34
23,33
23,33
22,32
22,31
21,29
21,28
20,28
20,27
19,26
19,25
19,24
18,23
18,23
18,22
17,22
17,21
17,21
17,21
17,21
18,21
21,22
23,22
25,23
27,23
29,23
31,23
32,23
33,23
35,23
37,23
38,23
40,23
41,23
43,23
45,23
46,23
47,23
49,23
50,23
51,23
53,23
53,23
54,23
54,23
55,23
56,23
58,23
60,23
61,23
61,23
62,23
62,23
63,23
64,23
64,23
65,23
65,23
65,23
66,23
66,23
66,23
67,23
67,23
67,23
67,23
68,23
69,23
68,23
67,24
67,25
66,26
66,26
66,27
65,27
65,28
64,28
64,29
63,30
63,30
62,31
61,32
61,33
60,34
60,35
59,36
59,37
58,37
58,38
57,39
57,40
56,42
55,44
55,45
54,45
54,46
54,46
54,46
53,47
53,48
52,49
52,49
52,49
51,49
